City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yorkton,51.2167,-102.4677,-5.09,63,100,3.6,CA,1698358383
84,phek,25.6667,94.5,9.85,99,39,0.46,IN,1698358383
85,rio verde de mato grosso,-18.9181,-54.8442,32.5,42,77,4.43,BR,1698358119
86,khandyga,62.6667,135.6,-7.59,97,100,0.48,RU,1698358383
87,nabire,-3.3667,135.4833,24.89,89,55,1.36,ID,1698358383
88,waitangi,-43.9535,-176.5597,13.23,92,98,4.02,NZ,1698358156
89,saguenay,48.4168,-71.0657,10.6,85,100,0.33,CA,1698358117
90,minot,48.2325,-101.2963,-3.88,80,100,6.69,US,1698358384
91,zhalantun,48.0,122.7167,-0.81,43,55,1.83,CN,1698358384
92,luderitz,-26.6481,15.1594,16.08,81,6,6.49,NA,1698358384
93,mariental,-24.6333,17.9667,26.03,19,41,7.46,NA,1698358230
94,dalandzadgad,43.5708,104.425,6.99,29,0,2.86,MN,1698358244
95,mangrol,21.1167,70.1167,26.36,62,11,2.05,IN,1698358385
96,boa vista,2.8197,-60.6733,32.99,49,40,3.09,BR,1698358385
97,cidreira,-30.1811,-50.2056,16.11,73,27,4.22,BR,1698358385
98,freetown,8.484,-13.2299,26.76,84,97,2.65,SL,1698358386
99,contamana,-7.3333,-75.0167,34.85,39,98,0.12,PE,1698358386
100,hermanus,-34.4187,19.2345,15.97,74,64,4.61,ZA,1698358386
101,ciudad bolivar,8.1222,-63.5497,28.89,70,91,2.47,VE,1698358386
102,cabo san lucas,22.8909,-109.9124,28.43,61,0,4.48,MX,1698357609
103,uturoa,-16.7333,-151.4333,25.66,81,100,4.54,PF,1698358386
104,khorixas,-20.3667,14.9667,18.94,47,19,1.33,NA,1698358387
105,bilibino,68.0546,166.4372,-18.83,100,91,1.28,RU,1698358387
106,osakarovka,50.565,72.5692,-3.12,63,7,4.35,KZ,1698358387
107,carnarvon,-24.8667,113.6333,19.45,77,10,11.47,AU,1698358197
108,badger,64.8,-147.5333,2.06,83,75,0.0,US,1698358387
109,namibe,-15.1961,12.1522,20.44,74,86,2.29,AO,1698358388
110,orchard homes,46.8633,-114.0484,-2.92,63,100,4.63,US,1698358388
111,puerto yuca,2.9383,-73.2083,29.39,71,45,1.15,CO,1698358388
112,xinyuan,37.3,99.0,-3.51,53,0,2.05,CN,1698358388
113,bien unido,10.1373,124.3776,27.01,81,25,0.58,PH,1698358389
114,castillos,-34.1667,-53.8333,11.42,72,0,2.11,UY,1698358389
115,novodvinsk,64.4165,40.8122,-1.23,83,99,2.22,RU,1698358389
116,daru,-9.0763,143.2092,26.58,81,70,3.47,PG,1698358226
117,ribeira grande,38.5167,-28.7,17.1,78,78,2.68,PT,1698358389
118,kandyagash,49.4744,57.4233,-1.52,61,99,3.1,KZ,1698358162
119,alvaraes,-3.2208,-64.8042,30.93,77,88,1.45,BR,1698358390
120,nova sintra,14.8667,-24.7167,25.01,78,96,8.48,CV,1698358165
121,sikasso,10.9167,-7.0,27.92,44,64,1.73,ML,1698358190
122,saipan,15.1355,145.701,29.39,84,40,4.63,MP,1698358390
123,edinburgh of the seven seas,-37.0676,-12.3116,12.4,63,100,5.26,SH,1698358390
124,fort bragg,35.139,-79.006,25.46,60,0,1.54,US,1698358391
125,sal rei,16.1833,-22.9167,27.19,83,91,8.91,CV,1698358391
126,huangshan,29.7114,118.3125,17.27,88,100,0.66,CN,1698358391
127,senador jose porfirio,-2.5908,-51.9542,32.35,40,68,2.31,BR,1698358391
128,tura,25.5198,90.2201,19.23,89,0,1.12,IN,1698358392
129,kruisfontein,-34.0033,24.7314,16.56,81,94,7.88,ZA,1698358392
130,zagora,30.3484,-5.8365,23.62,17,11,2.86,MA,1698358392
131,wanning,18.8003,110.3967,24.75,92,79,0.97,CN,1698358392
132,belyy yar,53.6039,91.3903,8.94,66,0,4.0,RU,1698358393
133,afaahiti,-17.75,-149.2833,26.93,88,100,2.25,PF,1698358252
134,guigang,23.0964,109.6092,23.14,93,29,1.33,CN,1698358393
135,viitasaari,63.0667,25.8667,-2.11,82,100,2.47,FI,1698358393
136,toliara,-23.35,43.6667,20.77,63,4,4.82,MG,1698358393
137,aurillac,44.9167,2.45,10.49,91,100,6.17,FR,1698358394
138,forster,-32.1667,152.5167,17.94,68,100,8.5,AU,1698358394
139,talnakh,69.4865,88.3972,-16.58,94,38,1.0,RU,1698358394
140,punta arenas,-53.15,-70.9167,5.62,56,99,5.05,CL,1698358394
141,dubbo,-32.25,148.6167,12.07,71,0,6.17,AU,1698357722
142,essau,13.4839,-16.5347,27.09,79,97,6.76,GM,1698358394
143,kaa-khem,51.6833,94.7333,4.67,41,80,2.05,RU,1698358395
144,calvinia,-31.4707,19.776,15.67,38,30,2.9,ZA,1698358395
145,wailua homesteads,22.0669,-159.378,27.44,66,0,3.6,US,1698358160
146,polyarnyy,69.1989,33.4478,-3.47,93,100,2.99,RU,1698358220
147,nar'yan-mar,67.6713,53.087,-11.61,100,76,1.79,RU,1698358395
148,igrim,63.1906,64.4162,-6.33,69,99,1.63,RU,1698358396
149,anshun,26.25,105.9333,12.72,94,89,2.23,CN,1698358396
150,antsiranana,-12.2787,49.2917,23.79,84,6,2.84,MG,1698358396
151,puerto baquerizo moreno,-0.9,-89.6,23.59,77,71,5.46,EC,1698358396
152,lompoc,34.6391,-120.4579,23.9,68,20,11.18,US,1698358397
153,rongelap,11.1635,166.8941,27.77,70,85,5.33,MH,1698358397
154,tazovsky,67.4667,78.7,-12.91,94,85,5.22,RU,1698358397
155,tianpeng,30.9866,103.9393,14.56,81,100,0.2,CN,1698358397
156,starokucherganovka,46.3248,47.9555,13.96,100,100,4.02,RU,1698358397
157,sunland,38.8928,-101.8216,24.66,27,0,3.4,US,1698358398
158,yanykurgan,43.915,67.2481,9.39,55,100,1.39,KZ,1698358398
159,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,1698358398
160,arraial do cabo,-22.9661,-42.0278,22.92,88,75,2.57,BR,1698358398
161,payson,40.0444,-111.7321,9.14,44,0,4.12,US,1698358398
162,ilebo,-4.3167,20.5833,21.22,99,98,0.77,CD,1698358399
163,pandan,14.0453,124.1694,26.56,82,78,1.8,PH,1698358399
164,la punta,-33.1837,-66.3127,22.53,43,33,2.52,AR,1698358399
165,ban nam yuen,9.8769,98.8659,26.11,96,87,0.37,TH,1698358399
166,moree,-29.4667,149.85,14.45,69,35,8.42,AU,1698358400
167,gargalianoi,37.0667,21.6333,19.64,87,48,0.68,GR,1698358400
168,hasaki,35.7333,140.8333,11.22,56,78,2.21,JP,1698358400
169,inhambane,-23.865,35.3833,20.58,69,0,3.29,MZ,1698358400
170,fort st. john,56.2499,-120.8529,-2.06,64,75,2.57,CA,1698358400
171,kavieng,-2.5744,150.7967,27.6,77,100,1.6,PG,1698358400
172,magadan,59.5667,150.8,-5.97,78,70,2.45,RU,1698358353
173,muriti,-1.9833,32.9167,23.77,72,54,4.52,TZ,1698358401
174,la'ie,21.6477,-157.9253,30.66,71,61,2.24,US,1698358371
175,ust-nera,64.5667,143.2,-21.61,92,97,1.44,RU,1698358192
176,whitehorse,60.7161,-135.0538,-2.57,74,75,3.09,CA,1698358401
177,constantia,44.1833,28.65,15.38,70,71,4.12,RO,1698358198
178,port alfred,-33.5906,26.891,17.88,86,80,1.34,ZA,1698358401
179,zheleznodorozhnyy,55.7503,38.0042,-2.17,57,100,4.92,RU,1698358402
180,walvis bay,-22.9575,14.5053,14.86,90,26,0.91,NA,1698358402
181,galle,6.0367,80.217,24.84,88,95,2.1,LK,1698358402
182,harnosand,62.6323,17.9379,1.0,72,100,1.65,SE,1698358402
183,ain taya,36.7933,3.2869,18.91,72,0,1.03,DZ,1698358402
184,hadibu,12.65,54.0333,26.58,83,44,4.04,YE,1698358402
185,isangel,-19.55,169.2667,27.06,94,75,1.54,VU,1698358403
186,popondetta,-8.7537,148.2534,27.97,66,81,0.43,PG,1698358403
187,sarmiento,-45.5882,-69.07,14.75,38,100,12.48,AR,1698358403
188,kodiak,57.79,-152.4072,7.73,66,100,5.14,US,1698358403
189,manta,-0.95,-80.7333,25.88,78,100,5.14,EC,1698358178
190,cole harbour,44.6724,-63.4751,17.66,90,73,2.57,CA,1698358403
191,iskateley,67.6803,53.1512,-11.66,100,74,1.79,RU,1698358404
192,panchgani,17.9167,73.8167,15.11,48,33,2.06,IN,1698358404
193,dera bugti,29.0307,69.151,23.31,24,67,1.4,PK,1698358404
194,san antonio,29.4241,-98.4936,28.62,88,100,4.12,US,1698358241
195,side,36.7667,31.3885,22.97,51,100,1.99,TR,1698358404
196,wang nam yen,13.5033,102.1812,23.12,94,86,0.76,TH,1698358405
197,mebane,36.096,-79.267,23.82,69,0,0.0,US,1698358405
198,sturgeon bay,44.8342,-87.377,17.2,100,100,2.06,US,1698358405
199,newman,37.3138,-121.0208,20.19,43,1,3.13,US,1698358405
200,sedan,49.6667,5.0,8.32,97,95,2.04,FR,1698358405
201,san ciro de acosta,21.6333,-99.8167,26.3,67,80,3.83,MX,1698358406
202,xilin hot,43.9667,116.0333,4.18,35,12,2.89,CN,1698358406
203,west island,-12.1568,96.8225,24.99,83,75,9.77,CC,1698358406
204,letlhakane,-21.4167,25.5833,24.4,38,7,4.74,BW,1698358406
205,la ronge,55.1001,-105.2842,-1.86,54,75,4.12,CA,1698358406
206,kalabo,-14.97,22.6814,26.25,29,45,2.54,ZM,1698358406
207,inirida,3.8653,-67.9239,27.2,86,100,0.82,CO,1698358407
